CodArticulo,d_media,d_sigma,StockMes,horizon,seguridad,stock_objetivo,Estado
ME000226932,,0.0,,,,,OK
ME000226933,,0.0,,,,,OK
ME000226934,,0.0,,,,,OK
ME000226935,,0.0,,,,,OK
ME000226936,,0.0,,,,,OK
ME000226937,,0.0,,,,,OK
ME000226938,,0.0,,,,,OK
ME000226940,,0.0,,,,,OK
ME000226941,,0.0,,,,,OK
ME000226943,,0.0,,,,,OK
ME000226944,,0.0,,,,,OK
ME000226945,,0.0,,,,,OK
ME000226946,,0.0,,,,,OK
ME000226947,,0.0,,,,,OK
ME000226948,8.430801,2.294625486315573,133.0,180.0,39.40560821994344,1557.0,OK
ME000226950,11.814143,1.2675362714518206,20.0,180.0,21.767403009891048,2148.0,Quiebre Potencial
ME000226951,,0.0,,,,,OK
ME000226952,,0.0,,,,,OK
ME000226953,9.409888,2.2817537115122657,105.0,180.0,39.184561204637724,1733.0,OK
ME000226954,7.477357,1.7065234314893605,99.0,180.0,29.30613041668927,1375.0,OK
ME000226955,9.071901,1.842703328144701,149.0,180.0,31.644748063462295,1665.0,OK
ME000227146,,0.0,,,,,OK
ME000227194,,0.0,,,,,OK
ME000227195,,0.0,,,,,OK
ME000227205,624.06476,602.3469667245135,8400.0,180.0,10344.10570473075,122676.0,Quiebre Potencial
ME000227206,93.09237,195.49551824928253,2826.624,180.0,3357.2449390229485,20114.0,Quiebre Potencial
ME000227207,104.005646,211.9285293835322,3483.258,180.0,3639.449073201712,22360.0,Quiebre Potencial
ME000227208,,0.0,,,,,OK
ME000227265,1.0335559,0.0,14.0,90.0,0.0,93.0,OK
ME000227368,,0.0,,,,,OK
ME000227565,,0.0,,,,,OK
ME000227566,,0.0,,,,,OK
ME000227567,,0.0,,,,,OK
ME000227568,,0.0,,,,,OK
ME000227599,,0.0,,,,,OK
ME000227601,,0.0,,,,,OK
ME000227603,,0.0,,,,,OK
ME000227605,,0.0,,,,,OK
ME000227608,,0.0,,,,,OK
ME000227645,1.1316389,0.0,11.0,90.0,0.0,102.0,OK
ME000227646,0.48665318,0.0,20.0,90.0,0.0,44.0,OK
ME000227647,,0.0,,,,,OK
ME000227648,,0.0,,,,,OK
ME000227649,-0.2331018,0.3499271061118826,8.0,90.0,4.249216014124709,-17.0,Sobre-stock
ME000227650,,0.3499271061118826,7.0,90.0,4.249216014124709,,OK
ME000227651,,0.0,1.0,90.0,0.0,,OK
ME000227652,,0.0,,,,,OK
ME000227654,-2.0193727,0.25753937681885636,1.0,90.0,3.1273383088433495,-179.0,Quiebre Potencial
ME000227655,-0.86937743,0.22329687826943606,7.0,90.0,2.711526642189219,-76.0,Sobre-stock
ME000227656,,0.0,,,,,OK
ME000227678,11.342734,19.00219322136848,666.357,180.0,326.32470347186404,2368.0,OK
ME000227679,18.094742,65.03028792203078,731.187,180.0,1116.765268915541,4374.0,Quiebre Potencial
ME000227680,9.833746,55.41345276394733,447.321,180.0,951.6153388658677,2722.0,Quiebre Potencial
ME000227681,20.933996,24.66655405379699,443.995,180.0,423.59878375651647,4192.0,OK
ME000227682,23.371094,35.2082131137987,1429.625,180.0,604.6307165856264,4811.0,OK
ME000227704,,0.0,,,,,OK
ME000227768,,0.0,,,,,OK
ME000227782,,0.0,,,,,OK
ME000227783,,0.0,,,,,OK
ME000227784,,0.0,,,,,OK
ME000228029,,0.0,,,,,OK
ME000228030,,0.0,,,,,OK
ME000228031,,0.0,,,,,OK
ME000228032,,0.0,,,,,OK
ME000228033,,0.0,,,,,OK
ME000228034,,0.0,,,,,OK
ME000228035,,0.0,,,,,OK
ME000228037,,0.0,,,,,OK
ME000228038,,0.0,,,,,OK
ME000228039,,0.0,,,,,OK
ME000228040,,0.0,,,,,OK
ME000228041,,0.0,,,,,OK
ME000228043,,0.0,,,,,OK
ME000228044,,0.0,,,,,OK
ME000228045,,0.0,,,,,OK
ME000228046,,0.0,,,,,OK
ME000228047,,0.0,,,,,OK
ME000228048,,0.0,,,,,OK
ME000228049,,0.0,,,,,OK
ME000228051,,0.0,,,,,OK
ME000228052,,0.0,,,,,OK
ME000228053,,0.0,,,,,OK
ME000228054,,0.0,,,,,OK
ME000228055,,0.0,,,,,OK
ME000228056,,0.0,,,,,OK
ME000228058,,0.0,,,,,OK
ME000228059,,0.0,,,,,OK
ME000228060,,0.0,,,,,OK
ME000228061,,0.0,,,,,OK
ME000228062,,0.0,,,,,OK
ME000228063,,0.0,,,,,OK
ME000228067,,0.0,,,,,OK
ME000228068,,0.0,,,,,OK
ME000228069,,0.0,,,,,OK
ME000228070,,0.0,,,,,OK
ME000228071,,0.0,,,,,OK
ME000228072,,0.0,,,,,OK
ME000228073,,0.0,,,,,OK
ME000228074,,0.0,,,,,OK
ME000228075,,0.0,,,,,OK
ME000228076,,0.0,,,,,OK
ME000228078,,0.0,,,,,OK
ME000228079,,0.0,,,,,OK
ME000228080,,0.0,,,,,OK
ME000228081,,0.0,,,,,OK
ME000228082,,0.0,,,,,OK
ME000228083,,0.0,,,,,OK
ME000228084,,0.0,,,,,OK
ME000228085,,0.0,,,,,OK
ME000228087,,0.0,,,,,OK
ME000228088,,0.0,,,,,OK
ME000228090,,0.0,,,,,OK
ME000228091,,0.0,,,,,OK
ME000228092,,0.0,,,,,OK
ME000228093,,0.0,,,,,OK
ME000228095,,0.0,,,,,OK
ME000228096,,0.0,,,,,OK
ME000228098,,0.0,,,,,OK
ME000228099,,0.0,,,,,OK
ME000228100,,0.0,,,,,OK
ME000228101,,0.0,,,,,OK
ME000228102,,0.0,,,,,OK
ME000228103,,0.0,,,,,OK
ME000228104,,0.0,,,,,OK
ME000228105,,0.0,,,,,OK
ME000228106,,0.0,,,,,OK
ME000228107,,0.0,,,,,OK
ME000228108,,0.0,,,,,OK
ME000228110,,0.0,,,,,OK
ME000228111,,0.0,,,,,OK
ME000228114,,0.0,,,,,OK
ME000228115,,0.0,,,,,OK
ME000228116,,0.0,,,,,OK
ME000228118,,0.0,,,,,OK
ME000228121,,0.0,,,,,OK
ME000228122,,0.0,,,,,OK
ME000228125,,0.0,,,,,OK
ME000228126,,0.0,,,,,OK
ME000228127,,0.0,,,,,OK
ME000228128,,0.0,,,,,OK
ME000228130,,0.0,,,,,OK
ME000228132,,0.0,,,,,OK
ME000228134,,0.0,,,,,OK
ME000228137,,0.0,,,,,OK
ME000228140,,0.0,,,,,OK
ME000228141,,0.0,,,,,OK
ME000228142,,0.0,,,,,OK
