feature,gain
ohe__CodArticulo_ME000012633,1.4361797e-05
ohe__CodArticulo_00000001475,0.0
ohe__CodArticulo_00000001476,0.0
ohe__CodArticulo_ME000308753,0.0
ohe__CodArticulo_00000000547,0.0
remainder__TiendaCerrada,0.0
ohe__CodArticulo_00000000398,0.0
ohe__CodArticulo_ME000309617,0.0
ohe__CodArticulo_ME000308848,0.0
ohe__CodArticulo_ME000308826,0.0
ohe__CodArticulo_ME000308811,0.0
ohe__CodArticulo_ME000308646,0.0
ohe__CodArticulo_00000001472,0.0
ohe__CodArticulo_00000001471,0.0
ohe__CodArticulo_00000001470,0.0
ohe__CodArticulo_00000001468,0.0
ohe__CodArticulo_00000001467,0.0
ohe__CodArticulo_00000001464,0.0
ohe__CodArticulo_00000001463,0.0
ohe__CodArticulo_00000001461,0.0
ohe__CodArticulo_00000001460,0.0
ohe__CodArticulo_00000001459,0.0
ohe__CodArticulo_ME000295273,0.0
ohe__CodArticulo_ME000295272,0.0
ohe__CodArticulo_00000000545,0.0
ohe__CodArticulo_00000000548,0.0
ohe__CodArticulo_ME000308772,0.0
ohe__CodArticulo_00000002628,0.0
ohe__CodArticulo_00000002627,0.0
ohe__CodArticulo_00000004097,0.0
ohe__CodArticulo_00000004062,0.0
ohe__CodArticulo_00000004060,0.0
ohe__CodArticulo_00000003953,0.0
ohe__CodArticulo_00000003948,0.0
ohe__CodArticulo_00000003926,0.0
ohe__CodArticulo_00000003925,0.0
ohe__CodArticulo_00000003924,0.0
ohe__CodArticulo_00000003565,0.0
ohe__CodArticulo_00000003097,0.0
ohe__CodArticulo_00000003096,0.0
ohe__CodArticulo_00000003082,0.0
ohe__CodArticulo_00000002998,0.0
ohe__CodArticulo_00000002931,0.0
ohe__CodArticulo_00000004179,0.0
ohe__CodArticulo_00000004118,0.0
ohe__CodArticulo_00000004117,0.0
ohe__CodArticulo_00000004116,0.0
ohe__CodArticulo_00000004115,0.0
ohe__CodArticulo_00000004111,0.0
ohe__CodArticulo_00000004110,0.0
ohe__CodArticulo_00000004108,0.0
ohe__CodArticulo_00000004107,0.0
ohe__CodArticulo_00000004106,0.0
ohe__CodArticulo_00000004105,0.0
ohe__CodArticulo_00000004104,0.0
ohe__CodArticulo_00000004099,0.0
ohe__CodArticulo_00000004588,0.0
ohe__CodArticulo_00000004587,0.0
ohe__CodArticulo_00000004549,0.0
ohe__CodArticulo_00000004548,0.0
ohe__CodArticulo_00000004547,0.0
ohe__CodArticulo_00000004546,0.0
ohe__CodArticulo_00000004531,0.0
ohe__CodArticulo_00000004520,0.0
ohe__CodArticulo_00000004480,0.0
ohe__CodArticulo_00000004454,0.0
ohe__CodArticulo_00000004451,0.0
ohe__CodArticulo_00000004429,0.0
ohe__CodArticulo_00000004416,0.0
ohe__CodArticulo_00000005021,0.0
ohe__CodArticulo_00000005003,0.0
ohe__CodArticulo_00000005002,0.0
ohe__CodArticulo_00000004997,0.0
ohe__CodArticulo_00000004996,0.0
ohe__CodArticulo_00000004955,0.0
ohe__CodArticulo_00000004869,0.0
ohe__CodArticulo_00000004868,0.0
